,movie_id,movie_title,overview,popularity,rating,tagline,runtime,revenue,release_date,vote_count,budget,genres,production_companies
306,39254,Real Steel,"Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After his robot is trashed, he reluctantly teams up with his estranged son to rebuild and train an unlikely contender.",108.56,6.98,"If you get one shot, make it real.",127,299268508,2011-09-28,7510,110000000,"['Action', 'Science Fiction', 'Drama']","['Touchstone Pictures', 'ImageMovers', 'Angry Films', 'Kontsept Film Company', 'Revolution Sun Studios', 'DreamWorks Pictures', 'Reliance Entertainment', '21 Laps Entertainment']"
307,2062,Ratatouille,"Remy, a resident of Paris, appreciates good food and has quite a sophisticated palate. He would love to become a chef so he can create and enjoy culinary masterpieces to his heart's delight. The only problem is, Remy is a rat. When he winds up in the sewer beneath one of Paris' finest restaurants, the rodent gourmet finds himself ideally placed to realize his dream.",96.1,7.81,He's dying to become a chef.,111,623726000,2007-06-28,15596,150000000,"['Animation', 'Comedy', 'Family', 'Fantasy']","['Pixar', 'Walt Disney Pictures']"
308,717728,Jeepers Creepers: Reborn,"Forced to travel with her boyfriend to a horror festival, Laine begins to experience disturbing visions associated with the urban legend of The Creeper. As the festival arrives and the blood-soaked entertainment builds to a frenzy, she becomes the center of it while something unearthly has been summoned.",96.44,5.625,Evil's Back. For More.,88,5954938,2022-09-15,841,5000000,"['Horror', 'Thriller', 'Mystery']","['Orwo Studios (US)', 'Screen Media Films', 'Black Hangar Studios']"
309,87101,Terminator Genisys,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.",93.1,5.92,Reset the future,126,440603537,2015-06-23,7817,155000000,"['Science Fiction', 'Action', 'Thriller', 'Adventure']","['Skydance', 'Paramount', 'Annapurna Pictures']"
310,736526,Troll,"Deep inside the mountain of Dovre, something gigantic awakens after being trapped for a thousand years. Destroying everything in its path, the creature is fast approaching the capital of Norway. But how do you stop something you thought only existed in Norwegian folklore?",95.6,6.7,Mountains will move.,104,0,2022-12-01,1473,0,"['Fantasy', 'Action', 'Adventure', 'Thriller']",['Motion Blur']
311,120,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",105.9,8.4,One ring to rule them all,179,871368364,2001-12-18,23145,93000000,"['Adventure', 'Fantasy', 'Action']","['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']"
312,1033219,Attack on Titan,"As viable water is depleted on Earth, a mission is sent to Saturn's moon Titan to retrieve sustainable H2O reserves from its alien inhabitants. But just as the humans acquire the precious resource, they are attacked by Titan rebels, who don't trust that the Earthlings will leave in peace.",97.06,6.1,The battle for Earth has begun.,93,0,2022-09-30,161,0,"['Science Fiction', 'Action']","['The Asylum', 'Emerald City Films']"
313,58,Pirates of the Caribbean: Dead Man's Chest,Captain Jack Sparrow works his way out of a blood debt with the ghostly Davy Jones to avoid eternal damnation.,88.8,7.344,Captain Jack is back!,151,1065659812,2006-07-06,14766,200000000,"['Adventure', 'Fantasy', 'Action']","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']"
314,1149947,To End All War: Oppenheimer & the Atomic Bomb,"Explore how one man's relentless drive and invention of the atomic bomb changed the nature of war forever, led to the deaths of hundreds of thousands of people and unleashed mass hysteria.",91.5,7.7,,88,0,2023-07-09,120,0,"['Documentary', 'History']",['NBC News Studios']
315,878361,Big George Foreman,"Fueled by an impoverished childhood, George Foreman channeled his anger into becoming an Olympic Gold medalist and World Heavyweight Champion, followed by a near-death experience that took him from the boxing ring to the pulpit. But when he sees his community struggling spiritually and financially, Foreman returns to the ring and makes history by reclaiming his title, becoming the oldest and most improbable World Heavyweight Boxing Champion ever.",66.0,7.742,"When life gives you a second chance, don't do it for yourself. Do it for everyone you love.",129,3800000,2023-04-27,101,32000000,"['History', 'Drama']","['Mandalay Pictures', 'Affirm Films', 'State Street Pictures']"
316,293660,Deadpool,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",93.8,7.605,Witness the beginning of a happy ending.,108,783100000,2016-02-09,28770,58000000,"['Action', 'Adventure', 'Comedy']","['20th Century Fox', ""The Donners' Company"", 'Genre Films']"
317,337167,Fifty Shades Freed,"Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins.",94.4,6.703,Don't Miss the Climax,105,368307760,2018-01-17,7463,55000000,"['Drama', 'Romance']","['Universal Pictures', 'Perfect World Pictures']"
318,57214,Project X,"Three high school seniors throw a party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",84.25,6.84,Witness it,88,102731865,2012-03-01,5820,12000000,['Comedy'],"['Silver Pictures', 'Green Hat Films']"
319,649609,Renfield,"Having grown sick and tired of his centuries as Dracula's lackey, Renfield finds a new lease on life — and maybe even redemption — when he falls for feisty, perennially angry traffic cop Rebecca Quincy.",98.06,6.742,Sucks to be him.,93,26348156,2023-04-07,925,65000000,"['Comedy', 'Horror', 'Fantasy']","['Skybound Entertainment', 'Universal Pictures', 'Giant Wildcat', 'dentsu']"
320,438631,Dune,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",90.6,7.8,It begins.,155,402027830,2021-09-15,9294,165000000,"['Science Fiction', 'Adventure']",['Legendary Pictures']
321,372058,君の名は。,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",87.94,8.516,"It was almost like seeing something out of a dream, nothing more or less than a breathtaking view.",106,357986087,2016-08-26,10181,0,"['Romance', 'Animation', 'Drama']","['CoMix Wave Films', 'TOHO', 'KADOKAWA', 'East Japan Marketing & Communications', 'AMUSE', 'voque ting', 'Lawson Entertainment', '4Kids Entertainment']"
