movie_id,movie_title,overview,popularity,rating,tagline,runtime,revenue,release_date,vote_count,budget,genres,production_companies
78,Blade Runner,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",53,7.93,Man has made his match... now it's his problem.,118,41722424,1982-06-25,12687,28000000,"['Science Fiction', 'Drama', 'Thriller']","['Shaw Brothers', 'The Ladd Company', 'Warner Bros. Pictures']"
561,Constantine,"John Constantine has literally been to Hell and back. When he teams up with a policewoman to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists beneath the landscape of contemporary Los Angeles.",54,7.061,Hell wants him. Heaven won't take him. Earth needs him.,121,230884728,2005-02-08,6459,100000000,"['Fantasy', 'Action', 'Horror']","['Village Roadshow Pictures', 'Lonely Film Productions GmbH & Co. KG.', ""The Donners' Company"", 'Batfilm Productions', 'Weed Road Pictures', 'Warner Bros. Pictures', '3 Arts Entertainment', 'DC Vertigo']"
82023,Hotel Desire,"Antonia is a single mother who works as a hotel maid in Berlin. A normal hot summer day takes a dramatic turn when she crosses paths with a particular guest of the hotel, famous blind portrait painter Julius Pass.",69,6.079,,38,0,2011-12-07,95,230758,"['Drama', 'Romance']","['Von Fiessbach Film', 'teamWorx']"
273477,Scouts Guide to the Zombie Apocalypse,"Three scouts and lifelong friends join forces with one badass cocktail waitress to become the world’s most unlikely team of heroes.  When their peaceful town is ravaged by a zombie invasion, they’ll fight for the badge of a lifetime and put their scouting skills to the test to save mankind from the undead.",54,6.504,Always bring protection.,93,14860766,2015-10-23,1723,15000000,"['Comedy', 'Horror']","['Broken Road Productions', 'Brucks Entertainment', 'Oops Doughnuts Productions']"
297,Meet Joe Black,"When the grim reaper comes to collect the soul of megamogul Bill Parrish, he arrives with a proposition: Host him for a ""vacation"" among the living in trade for a few more days of existence. Parrish agrees, and using the pseudonym Joe Black, Death begins taking part in Parrish's daily agenda and falls in love with the man's daughter. Yet when Black's holiday is over, so is Parrish's life.",58,7.297,Sooner or later everyone does.,178,142940100,1998-11-12,4563,90000000,"['Fantasy', 'Drama', 'Romance']","['Universal Pictures', 'City Light Films']"
893694,Eva,"When Eva gets involved in a steamy threesome with a houseboy and her lady boss, she realizes she has to choose only one between them.",48,5.7,,95,0,2021-12-24,10,0,"['Drama', 'Romance']","['Viva Films', 'Vivamax']"
870518,Sanctuary,"Confined to a claustrophobic hotel room, the heir to a hotel empire and the dominatrix who has primed him for success become locked in a battle of wits and wills as he tries to end his relationship with her.",59,6.15,His game. Her rules.,96,0,2023-04-06,61,0,"['Thriller', 'Drama']","['Rumble Films', 'Charades', 'Mosaic', 'Hype Studios']"
125509,Wrong Turn 5: Bloodlines,"A small West Virginia town is hosting the legendary Mountain Man Festival on Halloween, where throngs of costumed party goers gather for a wild night of music and mischief. But an inbred family of hillbilly cannibals kill the fun when they trick and treat themselves to a group of visiting college students.",47,5.385,The inbred hillbillies are back!,91,0,2012-10-23,834,3000000,"['Horror', 'Thriller']","['Summit Entertainment', 'Constantin Film']"
755812,"Miraculous World : New York, les héros unis",Teen Parisian superheroes Ladybug and Chat Noir visit New York on a field trip and discover that superheroes exist in the United States too.,55,8.176,,62,0,2020-12-18,1010,0,"['Animation', 'TV Movie', 'Fantasy', 'Action']","['Zagtoon', 'Method Animation', 'SAMG Animation', 'TF1', 'Gloob', 'Norman Studio', 'Télé-Québec', 'The Walt Disney Company EMEA']"
522924,The Art of Racing in the Rain,"A family dog – with a near-human soul and a philosopher's mind – evaluates his life through the lessons learned by his human owner, a race-car driver.",45,8.217,Meet the dog who will show the world how to be human,109,33766787,2019-08-08,1288,18000000,"['Drama', 'Romance', 'Comedy', 'Family']","['Original Film', '20th Century Fox', 'Shifting Gears Productions', 'Fox 2000 Pictures', 'Starbucks Entertainment']"
1025169,13 หมูป่า: เรื่องเล่าจากในถ้ำ,"In this compelling documentary, members of the Thai youth soccer team tell their stories of getting trapped in Tham Luang Cave in 2018 — and surviving.",55,7.0,,102,0,2022-10-05,49,0,['Documentary'],[]
1085103,Clock,"On the eve of her 38th birthday, a woman desperately attempts to fix her broken biological clock.",45,5.804,It’s counting down for a reason.,92,0,2023-03-28,135,0,"['Horror', 'Thriller']",['20th Digital Studio']
13811,Knowing,A teacher opens a time capsule that has been dug up at his son's elementary school; in it are some chilling predictions -- some that have already occurred and others that are about to -- that lead him to believe his family plays a role in the events that are about to unfold.,47,6.18,What happens when the numbers run out?,121,155446362,2009-03-19,4861,50000000,"['Action', 'Mystery', 'Science Fiction', 'Thriller']","['Summit Entertainment', 'Escape Artists', 'Mystery Clock Cinema', 'Kaplan/Perrone Entertainment', 'Wintergreen Productions', 'Goldcrest']"
185664,団鬼六　修道女縄地獄,Takako joins a convent after her lover's wife catches them in the act. She soon discovers that the nuns and a successful writer have conspired to engage in decadent S&M orgies. Based on the novel by Oniroku Dan.,57,5.889,"A woman who is blamed, bound and humiliated...",69,0,1984-05-25,9,0,['Drama'],['Nikkatsu Corporation']
35,The Simpsons Movie,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",50,6.996,See our family. And feel better about yours.,87,527068851,2007-07-25,7381,75000000,"['Animation', 'Comedy', 'Family']","['Gracie Films', '20th Century Fox']"
726684,"Miraculous World: Shanghai, la légende de Ladydragon","On school break, Marinette heads to Shanghai to meet Adrien. But after arriving, Marinette loses all her stuff, including the Miraculous that allows her to turn into Ladybug!",47,7.886,"New city, new challenges.",54,0,2021-05-15,573,0,"['Animation', 'Fantasy', 'Action', 'TV Movie']","['Zagtoon', 'Method Animation', 'SAMG Animation', 'TF1', 'Gloob', 'Télé-Québec', 'Norman Studio', 'Gravity Animation', 'The Walt Disney Company EMEA']"
746524,Blood,"Jess, a newly separated mother and nurse, moves into her old family farmhouse with Tyler, her teenage daughter, and Owen, her eight-year-old son. One night, the family dog senses something in the woods and runs off to find it. He returns a couple of days later and attacks Owen, savagely biting him before Jess is able to intervene. Owen is rushed to the hospital. His condition worsens, and no one can figure out why... until Jess discovers a disturbing cure...",42,6.8,How far would you go to save your child?,108,0,2023-01-12,104,0,"['Horror', 'Mystery', 'Thriller']","['H2L Media Group', 'Rhea Films']"
512200,Jumanji: The Next Level,"As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world’s most dangerous game.",62,6.933,,123,801693929,2019-12-04,7886,125000000,"['Adventure', 'Comedy', 'Fantasy']","['Columbia Pictures', 'Seven Bucks Productions', 'Matt Tolmach Productions', 'The Detective Agency']"
1369,Rambo: First Blood Part II,John Rambo is released from prison by the government for a top-secret covert mission to the last place on Earth he'd want to return - the jungles of Vietnam.,55,6.617,"What most people call hell, he calls home.",96,300400432,1985-05-21,3468,44000000,"['Action', 'Adventure', 'Thriller', 'War']","['Carolco Pictures', 'Estudios Churubusco Azteca', 'Anabasis N.V.']"
214,Saw III,"Jigsaw has disappeared. Along with his new apprentice Amanda, the puppet-master behind the cruel, intricate games that have terrified a community and baffled police has once again eluded capture and vanished. While city detective scrambles to locate him, Doctor Lynn Denlon and Jeff Reinhart are unaware that they are about to become the latest pawns on his vicious chessboard.",55,6.377,Suffering? You Haven't Seen Anything Yet...,108,164874275,2006-10-27,3959,10000000,"['Horror', 'Thriller', 'Crime']","['Twisted Pictures', 'Evolution Entertainment', 'Lionsgate']"
39105,ドラゴンボールZ 銀河ギリギリ!! ぶっちぎりの凄い奴,"Mr. Money is holding another World Martial Arts Tournament and Mr. Satan invites everyone in the world to join in. Little does he know that Bojack, an ancient villain who has escaped his prison, is competing. Since Goku is currently dead, it is up to Gohan, Vegeta, and Trunks to defeat Bojack and his henchman.",48,7.1,,51,20100000,1993-07-10,473,0,"['Action', 'Animation', 'Science Fiction']",['Toei Animation']
27449,Baby Face,"A young woman uses her body and her sexuality to help her climb the social ladder, but soon begins to wonder if her new status will ever bring her happiness.",52,7.2,She climbed the ladder of success - wrong by wrong!,76,451000,1933-07-13,98,187000,['Drama'],['Warner Bros. Pictures']
108450,Spiando Marina,"Mark, a hitman haunted by his past as a corrupt Miami cop and the death of his wife and son,  prepares for his next killing. Gradually he becomes fascinated by the beautiful prostitute who lives in the next apartment and they embark on a passionate affair. Their dreams of a life together are complicated by her pimp being a drugs baron; before they can escape he must die, but things are never that simple...",40,5.5,,86,0,1992-05-22,28,0,['Thriller'],['Dania Film']
805327,Look Both Ways,"On the eve of her college graduation, Natalie's life diverges into two parallel realities: one in which she becomes pregnant and must navigate motherhood as a young adult in her Texas hometown, the other in which she moves to LA to pursue her career. In both journeys throughout her twenties, Natalie experiences life-changing love, devastating heartbreak and rediscovers herself.",50,6.903,"Wherever life takes you, let love guide you.",110,0,2022-08-16,554,0,"['Romance', 'Drama', 'Comedy']","['Screen Arcade', 'CatchLight Studios']"
56292,Mission: Impossible - Ghost Protocol,"Ethan Hunt and his team are racing against time to track down a dangerous terrorist named Hendricks, who has gained access to Russian nuclear launch codes and is planning a strike on the United States. An attempt to stop him ends in an explosion causing severe destruction to the Kremlin and the IMF to be implicated in the bombing, forcing the President to disavow them. No longer being aided by the government, Ethan and his team chase Hendricks around the globe, although they might still be too late to stop a disaster.",61,7.068,No plan. No backup. No choice.,133,694713380,2011-12-07,9150,145000000,"['Action', 'Thriller', 'Adventure']","['Paramount', 'Bad Robot', 'TC Productions', 'Skydance']"
81774,Les Exploits d'un jeune Don Juan,"It's 1914.  Sixteen-year-old Roger returns home to spend his summer vacation.  His initial efforts are unsuccessful, but World War I breaks out and men are seen marching off to battle. Roger goes overboard when he is presented with several amorous opportunities.",57,5.6,,100,0,1986-11-04,164,0,"['Comedy', 'Drama']","['Séléna Audiovisuel', 'Antea Cinematografica', 'Lagonda Films', 'Les Films Ariane', 'Orphée Arts']"
